Customer_ID,Visit_Date,Visit_Number,Total_Spend,Items_Purchased,Days_Since_Last_Visit,Age,Region,Product_Category,Product,SKU_ID,Engagement_Rate,Product_Satisfaction,Bounce_Rate,Conversion_Rate,Product_Purchase_Rate_by_Segment,Segmentation_Efficiency,Cart_Abandoned,City,City_Type,Churn_Risk,Visit_Month_Full,Group_Assignment,Group,Month
CUST-10147,2022-06-11,3.0,243.7849545255093,3.0,13.0,38.0,Central,Books,Science Textbook,SKU-9913,1.0,5.0,80.62,0.7897179142832775,47.46,2.47,1.0,Helena,Rural,False,2022-06,,,
CUST-10192,2023-05-10,2.0,173.7140422589777,6.0,23.0,32.0,East,Sports & Outdoors,Dumbbells,SKU-2528,3.0,3.0,62.35,0.7605512850533325,20.26,4.36,0.0,Dover,Rural,False,2023-05,,,
CUST-10383,2022-11-26,1.0,616.0865938671055,5.0,26.0,48.0,North,Sports & Outdoors,Dumbbells,SKU-5996,5.0,4.0,44.19,2.403399154373071,33.33,1.27,0.0,Chicago,Urban,True,2022-11,,,
CUST-10205,2022-06-15,2.0,391.4392293648791,4.0,29.0,63.0,Central,Home & Kitchen,Vacuum Cleaner,SKU-1184,2.0,2.0,62.77,1.5364745479269062,35.58,2.57,1.0,San Francisco,Urban,True,2022-06,,,
CUST-10284,2022-05-11,2.0,407.50640416012993,5.0,27.0,52.0,Central,Beauty & Personal Care,Perfume,SKU-1130,4.0,5.0,49.69,2.095346134110227,49.15,4.71,0.0,Dallas,Urban,False,2022-05,,,
CUST-10410,2022-03-21,1.0,171.98723646163205,9.0,20.0,58.0,South,Beauty & Personal Care,Face Wash,SKU-6668,4.0,5.0,45.1,1.186317454611392,47.65,2.58,0.0,Boise,Rural,False,2022-03,,,
CUST-10204,2022-06-30,4.0,156.26659093057194,5.0,38.0,55.0,East,Clothing,Jacket,SKU-8144,3.0,5.0,47.1,0.6895534955654383,53.37,3.38,0.0,Dover,Rural,False,2022-06,,,
CUST-10342,2023-06-10,1.0,166.36460582960592,7.0,30.0,54.0,North,Beauty & Personal Care,Perfume,SKU-1176,2.0,5.0,70.0,0.7065487489447343,38.21,3.09,1.0,Boise,Rural,True,2023-06,,,
CUST-10378,2022-10-01,1.0,266.73317219635635,6.0,35.0,28.0,East,Sports & Outdoors,Dumbbells,SKU-6016,4.0,4.0,54.17,0.8673284197079245,52.17,1.17,0.0,Boise,Rural,True,2022-10,,,
CUST-10213,2023-01-25,4.0,339.5508104539834,3.0,23.0,61.0,Central,Clothing,Jacket,SKU-6267,2.0,3.0,60.72,0.8631498861528555,42.08,4.32,1.0,Boise,Rural,False,2023-01,,,
CUST-10219,2023-06-02,2.0,287.1467285097938,4.0,18.0,55.0,Central,Books,Fiction Novel,SKU-5812,1.0,4.0,86.21,2.7879895488130986,14.6,1.45,1.0,Dallas,Urban,True,2023-06,,,
CUST-10055,2022-05-27,3.0,454.5179976586206,7.0,36.0,23.0,Central,Home & Kitchen,Vacuum Cleaner,SKU-9168,3.0,4.0,55.15,2.837545016091994,19.04,3.78,0.0,San Francisco,Urban,False,2022-05,,,
CUST-10128,2023-03-08,1.0,221.37093049572664,8.0,24.0,25.0,North,Electronics,Smartphone,SKU-9347,2.0,4.0,64.26,1.0779715777906458,20.53,1.14,1.0,Dover,Rural,False,2023-03,,,
CUST-10156,2022-06-08,2.0,315.14426811194886,5.0,21.0,41.0,West,Clothing,Jacket,SKU-6315,1.0,2.0,81.05,1.6880162896470097,56.55,1.6,1.0,San Francisco,Urban,False,2022-06,,,
CUST-10173,2022-07-09,4.0,259.4600078279389,6.0,19.0,20.0,West,Beauty & Personal Care,Perfume,SKU-5799,2.0,2.0,70.88,2.2920455614022384,35.58,1.0,1.0,Chicago,Urban,False,2022-07,,,
CUST-10312,2023-01-03,1.0,331.1061302336669,7.0,28.0,49.0,West,Toys & Games,RC Car,SKU-4085,3.0,4.0,45.81,1.011764084242253,21.66,2.65,0.0,Dover,Rural,False,2023-01,,,
CUST-10020,2023-02-07,4.0,293.9399474418269,6.0,33.0,53.0,Central,Clothing,Jeans,SKU-6468,1.0,4.0,88.16,0.5538033715440934,30.26,4.19,1.0,Dover,Rural,False,2023-02,,,
CUST-10024,2023-07-05,3.0,355.73193962703044,3.0,28.0,36.0,North,Toys & Games,RC Car,SKU-6378,2.0,5.0,63.27,2.2937803456710375,32.56,2.85,1.0,San Francisco,Urban,False,2023-07,,,
CUST-10170,2023-04-18,2.0,383.6030411613031,5.0,15.0,22.0,West,Sports & Outdoors,Yoga Mat,SKU-8662,1.0,3.0,81.68,1.7368185034726982,29.61,2.57,1.0,New York,Urban,False,2023-04,,,
CUST-10136,2023-03-21,1.0,176.92527346571214,6.0,29.0,48.0,West,Home & Kitchen,Blender,SKU-2161,1.0,4.0,87.28,1.1137268966813545,28.14,2.11,1.0,Helena,Rural,True,2023-03,,,
CUST-10185,2022-09-08,4.0,271.081848951958,3.0,33.0,62.0,West,Books,Fiction Novel,SKU-7558,3.0,3.0,55.43,0.6806760375573655,51.79,4.0,0.0,Helena,Rural,False,2022-09,,,
CUST-10406,2022-12-02,1.0,497.31542061786064,8.0,36.0,49.0,North,Toys & Games,RC Car,SKU-5721,3.0,2.0,73.87,2.3701876747109907,37.84,4.95,1.0,Dallas,Urban,True,2022-12,,,
CUST-10285,2022-08-08,3.0,217.6312522658052,3.0,15.0,49.0,West,Sports & Outdoors,Dumbbells,SKU-8705,2.0,4.0,68.76,1.013665448165204,51.61,3.17,1.0,Helena,Rural,False,2022-08,,,
CUST-10129,2023-06-03,4.0,144.94881973413806,5.0,17.0,57.0,West,Electronics,Smartphone,SKU-5315,2.0,3.0,75.6,0.8426602495431922,58.27,1.04,1.0,Dover,Rural,False,2023-06,,,
CUST-10291,2023-01-08,2.0,387.90609168436407,3.0,10.0,63.0,Central,Clothing,Jeans,SKU-2210,4.0,3.0,24.47,0.8737514932830437,27.81,4.93,0.0,Helena,Rural,False,2023-01,,,
CUST-10260,2022-03-22,3.0,342.4803560951381,9.0,31.0,45.0,West,Beauty & Personal Care,Perfume,SKU-8149,4.0,4.0,27.32,2.8374021716936704,43.68,4.69,0.0,Chicago,Urban,True,2022-03,,,
CUST-10343,2022-11-08,1.0,501.8249440895054,3.0,26.0,39.0,North,Electronics,Laptop,SKU-7704,5.0,3.0,43.11,2.2739630922276737,21.38,3.73,0.0,Chicago,Urban,True,2022-11,,,
CUST-10019,2023-06-18,3.0,229.7762115045635,6.0,26.0,24.0,South,Clothing,Jeans,SKU-1429,4.0,2.0,41.18,0.5177294511487038,14.03,4.59,0.0,Helena,Rural,False,2023-06,,,
CUST-10099,2022-04-28,1.0,278.71722177630875,1.0,33.0,22.0,North,Beauty & Personal Care,Perfume,SKU-1455,4.0,2.0,20.07,1.7400695255835708,37.19,2.57,0.0,Dallas,Urban,True,2022-04,,,
CUST-10061,2023-07-24,2.0,179.27766680815412,7.0,24.0,58.0,West,Electronics,Laptop,SKU-2129,2.0,3.0,63.38,0.8905974238058192,23.59,4.28,1.0,Boise,Rural,False,2023-07,,,
CUST-10261,2023-06-19,1.0,302.45597426144434,5.0,16.0,52.0,East,Books,Cookbook,SKU-6798,4.0,2.0,55.58,2.7281287266904695,31.18,3.4,0.0,New York,Urban,False,2023-06,,,
CUST-10110,2022-09-06,2.0,262.10997741743466,4.0,28.0,25.0,North,Sports & Outdoors,Dumbbells,SKU-6821,4.0,4.0,50.01,0.8619406004975345,53.44,3.72,0.0,Boise,Rural,False,2022-09,,,
CUST-10235,2022-10-30,1.0,257.25278184724493,5.0,31.0,61.0,East,Toys & Games,Board Game,SKU-7848,1.0,3.0,89.84,1.913045652597281,53.31,4.64,1.0,New York,Urban,False,2022-10,,,
CUST-10373,2023-07-18,1.0,391.1058518232641,4.0,34.0,30.0,West,Beauty & Personal Care,Shampoo,SKU-9551,1.0,3.0,83.5,1.8700691718574114,51.5,4.95,1.0,San Francisco,Urban,False,2023-07,,,
CUST-10411,2022-07-09,1.0,216.0317787780848,7.0,32.0,25.0,South,Beauty & Personal Care,Shampoo,SKU-7298,4.0,4.0,41.69,0.8575603782865944,17.57,2.27,0.0,Dover,Rural,True,2022-07,,,
CUST-10039,2023-06-28,1.0,262.41120313578483,4.0,37.0,35.0,West,Toys & Games,RC Car,SKU-3093,2.0,4.0,76.35,2.692436395828623,53.37,2.24,1.0,New York,Urban,False,2023-06,,,
CUST-10012,2022-03-21,1.0,309.20594017822583,5.0,12.0,43.0,South,Sports & Outdoors,Yoga Mat,SKU-4741,2.0,5.0,71.37,2.4236813443994114,58.45,3.62,1.0,Dallas,Urban,False,2022-03,,,
CUST-10269,2022-08-14,4.0,205.0015406488531,5.0,39.0,64.0,Central,Home & Kitchen,Cookware Set,SKU-9727,1.0,5.0,86.91,0.9478033117181812,52.89,1.07,1.0,Helena,Rural,False,2022-08,,,
CUST-10190,2022-11-29,3.0,526.8544910834811,6.0,39.0,27.0,North,Beauty & Personal Care,Shampoo,SKU-3890,4.0,5.0,49.1,2.534901712852313,20.42,4.06,0.0,Dallas,Urban,True,2022-11,,,
CUST-10067,2023-03-23,2.0,300.1799264599524,9.0,38.0,31.0,West,Sports & Outdoors,Running Shoes,SKU-9250,1.0,4.0,87.81,1.7182531218149726,27.32,3.49,1.0,New York,Urban,False,2023-03,,,
CUST-10133,2023-01-10,2.0,388.9756966607756,3.0,31.0,50.0,East,Toys & Games,Board Game,SKU-9988,1.0,4.0,82.11,2.0935681536537136,22.74,2.4,1.0,New York,Urban,False,2023-01,,,
CUST-10069,2022-03-14,2.0,243.90258849564088,5.0,20.0,32.0,West,Electronics,Tablet,SKU-8580,3.0,4.0,53.85,0.6490572542202114,42.8,2.73,0.0,Boise,Rural,False,2022-03,,,
CUST-10209,2022-10-28,2.0,183.52337908045115,6.0,29.0,30.0,East,Home & Kitchen,Blender,SKU-3056,4.0,3.0,29.86,1.1829818017924252,34.38,2.31,0.0,Dover,Rural,True,2022-10,,,
CUST-10220,2023-02-09,2.0,286.96262278482726,2.0,39.0,32.0,East,Beauty & Personal Care,Face Wash,SKU-9758,1.0,3.0,87.16,0.6671154097037464,15.0,1.77,1.0,Dover,Rural,True,2023-02,,,
CUST-10247,2023-02-03,3.0,482.9633237302462,3.0,38.0,56.0,South,Sports & Outdoors,Running Shoes,SKU-1769,3.0,3.0,53.63,2.3163663668070935,48.08,1.18,0.0,New York,Urban,False,2023-02,,,
CUST-10158,2022-05-31,1.0,230.1966555811221,5.0,28.0,55.0,East,Sports & Outdoors,Running Shoes,SKU-7767,2.0,5.0,77.46,0.5358328487009216,38.96,1.24,1.0,Dover,Rural,True,2022-05,,,
CUST-10301,2023-03-02,1.0,336.1592052787747,3.0,18.0,46.0,South,Clothing,Jeans,SKU-4865,2.0,4.0,78.05,2.0566757939316576,40.18,3.06,1.0,Chicago,Urban,True,2023-03,,,
CUST-10154,2023-05-29,1.0,171.06697132666292,5.0,19.0,51.0,North,Sports & Outdoors,Dumbbells,SKU-5849,4.0,5.0,34.85,0.5471135451880752,31.0,1.95,0.0,Dover,Rural,True,2023-05,,,
CUST-10256,2023-05-02,1.0,237.05852975096388,5.0,11.0,25.0,Central,Clothing,Jeans,SKU-9303,3.0,4.0,48.42,1.0959968092095922,47.46,1.18,0.0,Helena,Rural,False,2023-05,,,
CUST-10240,2023-07-22,1.0,195.53214566790663,5.0,10.0,25.0,West,Toys & Games,RC Car,SKU-9685,2.0,4.0,76.94,0.9718656866315374,12.86,3.15,1.0,Helena,Rural,False,2023-07,,,
CUST-10102,2022-04-04,1.0,181.09491556018628,1.0,39.0,45.0,Central,Sports & Outdoors,Yoga Mat,SKU-8123,1.0,3.0,85.24,0.6157320300301053,19.5,1.84,1.0,Dover,Rural,True,2022-04,,,
CUST-10241,2022-09-22,3.0,353.3956353217755,5.0,25.0,58.0,West,Home & Kitchen,Blender,SKU-4094,1.0,3.0,88.08,1.8543595733565743,19.56,4.08,1.0,Chicago,Urban,False,2022-09,,,
CUST-10440,2022-05-20,1.0,164.5612093515044,7.0,27.0,30.0,Central,Home & Kitchen,Vacuum Cleaner,SKU-7587,4.0,5.0,21.52,0.5101465202695112,27.04,4.34,0.0,Helena,Rural,True,2022-05,,,
CUST-10166,2023-03-23,2.0,214.0985425351684,2.0,32.0,58.0,South,Sports & Outdoors,Yoga Mat,SKU-2436,3.0,4.0,55.94,1.1110213163855724,32.63,3.57,0.0,Dover,Rural,True,2023-03,,,
CUST-10186,2022-03-02,3.0,190.621375779882,4.0,35.0,54.0,Central,Toys & Games,Puzzle,SKU-3584,1.0,4.0,88.97,0.717792614575931,35.16,4.24,1.0,Boise,Rural,False,2022-03,,,
CUST-10282,2023-03-25,3.0,234.70949177746496,5.0,26.0,64.0,North,Clothing,Jacket,SKU-6582,1.0,5.0,81.84,0.5602042449275504,11.66,1.03,1.0,Dover,Rural,False,2023-03,,,
CUST-10433,2022-06-14,1.0,378.02035237269024,2.0,15.0,59.0,West,Clothing,T-Shirt,SKU-3926,3.0,3.0,46.3,2.4249177813770917,45.03,3.19,0.0,San Francisco,Urban,True,2022-06,,,
CUST-10208,2023-06-20,2.0,504.39446937685136,5.0,23.0,28.0,West,Clothing,Jacket,SKU-1600,2.0,5.0,71.45,1.8546410020391222,15.0,1.18,1.0,San Francisco,Urban,True,2023-06,,,
CUST-10040,2023-04-06,2.0,213.91168097835936,5.0,32.0,20.0,North,Home & Kitchen,Cookware Set,SKU-5340,3.0,4.0,52.57,0.5294009012389758,19.18,2.74,0.0,Boise,Rural,False,2023-04,,,
CUST-10368,2022-08-09,1.0,234.59259309827087,3.0,34.0,45.0,North,Toys & Games,RC Car,SKU-2148,4.0,4.0,27.45,2.3406957751318727,34.38,4.39,0.0,Chicago,Urban,True,2022-08,,,
CUST-10402,2022-09-18,1.0,231.55983717393588,4.0,24.0,47.0,Central,Home & Kitchen,Blender,SKU-6322,2.0,4.0,77.24,0.7761718531711956,24.23,2.53,1.0,Boise,Rural,True,2022-09,,,
CUST-10272,2022-11-25,1.0,457.2710167789669,1.0,23.0,60.0,Central,Books,Science Textbook,SKU-1449,4.0,3.0,69.25,2.3519386441435235,30.33,1.94,1.0,Chicago,Urban,False,2022-11,,,
CUST-10090,2022-11-26,3.0,759.1587157946587,6.0,33.0,61.0,North,Clothing,Jeans,SKU-4555,2.0,3.0,87.72,2.538405108938143,18.41,3.21,1.0,San Francisco,Urban,False,2022-11,,,
CUST-10426,2023-05-30,1.0,441.6233058381622,4.0,31.0,58.0,North,Electronics,Laptop,SKU-5650,1.0,4.0,89.06,2.2757568854228003,58.96,1.86,1.0,San Francisco,Urban,True,2023-05,,,
CUST-10038,2023-06-05,1.0,224.7778619903524,6.0,12.0,40.0,East,Electronics,Tablet,SKU-4476,2.0,5.0,74.39,1.1923934524662885,40.58,2.41,1.0,Helena,Rural,True,2023-06,,,
CUST-10389,2022-11-07,1.0,700.4855719984434,5.0,33.0,42.0,North,Toys & Games,Board Game,SKU-6363,5.0,5.0,58.05,1.653181226129178,56.01,3.27,0.0,San Francisco,Urban,True,2022-11,,,
CUST-10246,2022-12-21,3.0,472.5949499533508,4.0,32.0,52.0,South,Clothing,Jeans,SKU-8008,4.0,3.0,41.08,0.7794824447311124,30.91,4.44,0.0,Dover,Rural,True,2022-12,,,
CUST-10009,2023-02-01,1.0,288.7927191076296,4.0,28.0,20.0,Central,Books,Science Textbook,SKU-9166,3.0,4.0,52.99,2.3218110144125124,33.66,3.06,0.0,New York,Urban,False,2023-02,,,
CUST-10349,2022-04-22,1.0,303.05788889133134,6.0,34.0,31.0,North,Beauty & Personal Care,Shampoo,SKU-5274,3.0,3.0,55.33,2.7837703035170698,29.07,3.86,0.0,Dallas,Urban,False,2022-04,,,
CUST-10050,2022-10-03,1.0,268.12217774735467,4.0,21.0,59.0,West,Toys & Games,Board Game,SKU-5029,3.0,2.0,56.64,0.6026951168764941,19.19,4.28,0.0,Helena,Rural,False,2022-10,,,
CUST-10176,2022-09-04,1.0,364.7692893080752,6.0,11.0,22.0,South,Electronics,Smartphone,SKU-5111,3.0,4.0,67.11,2.930146029067755,16.35,1.24,0.0,Dallas,Urban,True,2022-09,,,
CUST-10153,2023-03-15,3.0,282.44851725691467,9.0,12.0,37.0,Central,Sports & Outdoors,Yoga Mat,SKU-2795,4.0,4.0,49.89,1.7652845316976942,16.2,3.18,0.0,Dallas,Urban,False,2023-03,,,
CUST-10125,2023-07-06,2.0,303.97428423067487,4.0,27.0,30.0,Central,Beauty & Personal Care,Perfume,SKU-7259,2.0,2.0,75.06,2.269374461003336,32.23,4.94,1.0,New York,Urban,True,2023-07,,,
